año,mes,dia,hora(utc),altura(mm)
2016,1,25,19,680 
2016,1,25,20,1002 
2016,1,25,21,1210 
2016,1,25,22,1263 
2016,1,25,23,1159 
2016,1,26,0,922 
2016,1,26,1,609 
2016,1,26,2,302 
2016,1,26,3,83 
2016,1,26,4,9 
2016,1,26,5,105 
2016,1,26,6,354 
2016,1,26,7,697 
2016,1,26,8,1048 
2016,1,26,9,1314 
2016,1,26,10,1421 
2016,1,26,11,1344 
2016,1,26,12,1113 
2016,1,26,13,773 
2016,1,26,14,394 
2016,1,26,15,75 
2016,1,26,16,-92 
2016,1,26,17,-77 
2016,1,26,18,109 
2016,1,26,19,427 
2016,1,26,20,797 
2016,1,26,21,1111 
2016,1,26,22,1289 
2016,1,26,23,1304 
2016,1,27,0,1160 
2016,1,27,1,890 
2016,1,27,2,560 
2016,1,27,3,258 
2016,1,27,4,60 
2016,1,27,5,20 
2016,1,27,6,151 
2016,1,27,7,426 
2016,1,27,8,775 
2016,1,27,9,1108 
2016,1,27,10,1334 
2016,1,27,11,1390 
2016,1,27,12,1267 
2016,1,27,13,1000 
2016,1,27,14,641 
2016,1,27,15,272 
2016,1,27,16,-1 
2016,1,27,17,-108 
2016,1,27,18,-34 
2016,1,27,19,201 
2016,1,27,20,550 
2016,1,27,21,919 
2016,1,27,22,1203 
2016,1,27,23,1338 
2016,1,28,0,1306 
2016,1,28,1,1122 
2016,1,28,2,826 
2016,1,28,3,495 
2016,1,28,4,214 
2016,1,28,5,53 
2016,1,28,6,56 
2016,1,28,7,225 
2016,1,28,8,517 
2016,1,28,9,857 
2016,1,28,10,1155 
2016,1,28,11,1330 
2016,1,28,12,1330 
2016,1,28,13,1161 
2016,1,28,14,866 
2016,1,28,15,506 
2016,1,28,16,173 
2016,1,28,17,-40 
2016,1,28,18,-82 
2016,1,28,19,47 
2016,1,28,20,323 
2016,1,28,21,684 
2016,1,28,22,1028 
2016,1,28,23,1263 
2016,1,29,0,1345 
2016,1,29,1,1267 
2016,1,29,2,1047 
2016,1,29,3,739 
2016,1,29,4,424 
2016,1,29,5,178 
2016,1,29,6,64 
2016,1,29,7,114 
2016,1,29,8,316 
2016,1,29,9,612 
2016,1,29,10,926 
2016,1,29,11,1177 
2016,1,29,12,1294 
2016,1,29,13,1241 
2016,1,29,14,1034 
2016,1,29,15,728 
2016,1,29,16,392 
2016,1,29,17,111 
2016,1,29,18,-37 
2016,1,29,19,-18 
2016,1,29,20,161 
2016,1,29,21,463 
2016,1,29,22,811 
2016,1,29,23,1108 
2016,1,30,0,1286 
2016,1,30,1,1315 
2016,1,30,2,1193 
2016,1,30,3,948 
2016,1,30,4,643 
2016,1,30,5,358 
